Cod_Sexo,EstCivil,Carrera,Edad,ALG_GEO_ANALITICA_I,ALG_GEO_ANALITICA_II,ANALISIS_MAT_I,ANALISIS_MAT_II,COMPUTACION_NIV_I,ELEMENTOS_PROG_I,MAT_DISCRETA,QUIMICA_GRAL,TECN_ING_SOC,SIST_REP,INGLES_TECN_I,FISICA_I,TICs,Situacion
1,2,203,52,[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Promocionada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[Cursada Promocionada],[Cursada Promocionada],[No_Cursada],[No_Cursada],[Cursada Reprobada],NO_ABANDONO
1,0,201,47,[Cursada Reprobada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Promocionada],[Cursada Ausente],[Cursada Promocionada],[Cursada Promocionada],[Cursada Promocionada],[No_Cursada],[No_Cursada],[Cursada Promocionada],NO_ABANDONO
2,1,201,47,[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],ABANDONO
1,2,201,33,[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],ABANDONO
1,1,201,43,[Cursada Promocionada],[Cursada Ausente],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Promocionada],[Cursada Reprobada],[Cursada Aprobada],[Cursada Promocionada],[No_Cursada],[No_Cursada],[Cursada Reprobada],NO_ABANDONO
1,2,201,41,[Cursada Reprobada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Promocionada],[No_Cursada],[Cursada Ausente],[Cursada Reprobada],[Cursada Ausente],[Cursada Promocionada],[No_Cursada],[No_Cursada],[Final Aprobada],NO_ABANDONO
1,1,202,41,[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[Cursada Ausente],[Cursada Ausente],[Cursada Ausente],[No_Cursada],[Cursada Ausente],ABANDONO
2,1,201,40,[Cursada Ausente],[No_Cursada],[No_Cursada],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Promocionada],[Cursada Reprobada],[Cursada Ausente],[No_Cursada],[Cursada Promocionada],[No_Cursada],[Cursada Ausente],NO_ABANDONO
1,2,201,40,[Cursada Promocionada],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],[Cursada Ausente],[Cursada Promocionada],[Cursada Ausente],[Cursada Ausente],[Cursada Ausente],[No_Cursada],[No_Cursada],[Cursada Ausente],NO_ABANDONO
2,1,201,40,[Cursada Ausente],[No_Cursada],[Cursada Ausente],[No_Cursada],[Cursada Promocionada],[Cursada Ausente],[Cursada Ausente],[Cursada Promocionada],[Cursada Aprobada],[Cursada Ausente],[No_Cursada],[Cursada Ausente],[Cursada Ausente],NO_ABANDONO
