Categoria	Moneda	RatingVendedor	Duracion	DiaSemana	PrecioInicial	PrecioCierre	Competitiva?	subasta	c2d_RatingVendedor_1	c2d_Duracion_1	c2d_PrecioInicial_1	c2d_PrecioCierre_1	c2d_Competitiva?_1	pred_SpvInstance_1	pred_SpvInstance_2
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	3249	5	Mon	0.01	0.01	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Automotive	US	3115	7	Tue	0.01	0.01	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Automotive	US	3115	7	Tue	0.01	0.01	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Automotive	US	3115	7	Tue	0.01	0.01	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Automotive	US	3115	7	Tue	0.01	0.01	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	US	37727	7	Mon	0.01	0.01	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	1029	7	Thu	1.07	1.07	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	1029	7	Thu	1.07	1.07	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Books	US	30	7	Mon	0.7	0.7	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	1029	7	Thu	1.25	1.25	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	1029	7	Thu	1.25	1.25	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	1029	7	Thu	1.25	1.25	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3277	3	Sun	0.99	0.99	0	NO	_NA_	_2_3.00	_NA_	_NA_	_1_0.00	SI	NO
Toys/Hobbies	US	3277	3	Sun	0.99	0.99	0	NO	_NA_	_2_3.00	_NA_	_NA_	_1_0.00	SI	NO
Toys/Hobbies	US	3277	3	Sun	0.99	0.99	0	NO	_NA_	_2_3.00	_NA_	_NA_	_1_0.00	SI	NO
Music/Movie/Game	US	841	5	Mon	0.99	0.99	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	841	5	Mon	0.99	0.99	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	841	5	Mon	0.99	0.99	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	US	841	5	Mon	0.99	0.99	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	US	2220	5	Mon	0.99	0.99	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
EverythingElse	US	109	7	Fri	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Books	GBP	149	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	149	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	GBP	215	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Collectibles	US	2695	7	Fri	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	US	2695	7	Sat	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	US	2695	7	Sat	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	US	2695	7	Sat	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	US	2695	7	Sat	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Toys/Hobbies	GBP	2991	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	NO
Toys/Hobbies	GBP	2991	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	NO
Music/Movie/Game	GBP	2991	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Clothing/Accessories	GBP	2991	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Coins/Stamps	GBP	3380	7	Thu	1.77	1.77	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Computer	US	4790	7	Tue	0.99	0.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Electronics	EUR	9	5	Sun	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Automotive	US	113	5	Sun	1	1	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	NO	NO
Antique/Art/Craft	EUR	158	5	Mon	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Books	EUR	410	5	Mon	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	666	5	Thu	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	865	5	Fri	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	NO	NO
Clothing/Accessories	EUR	865	5	Sat	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	1301	5	Fri	1.23	1.23	0	NO	_NA_	_3_5.00	_NA_	_NA_	_1_0.00	SI	SI
Business/Industrial	EUR	27	7	Sun	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Business/Industrial	EUR	27	7	Sun	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Computer	EUR	29	7	Fri	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Clothing/Accessories	EUR	41	7	Thu	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Books	EUR	104	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	104	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	858	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	1515	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	SI
Antique/Art/Craft	EUR	1550	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Antique/Art/Craft	EUR	1550	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Antique/Art/Craft	EUR	1550	7	Mon	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Antique/Art/Craft	EUR	1550	7	Wed	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Electronics	EUR	1550	7	Sat	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	2162	7	Thu	1.23	1.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Pottery/Glass	GBP	5292	7	Thu	1.78	1.78	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Pottery/Glass	GBP	5292	7	Thu	1.78	1.78	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Automotive	EUR	23	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Home/Garden	EUR	54	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Books	EUR	89	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Home/Garden	EUR	100	10	Fri	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Computer	EUR	165	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Clothing/Accessories	EUR	279	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Coins/Stamps	EUR	684	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	865	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	865	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	865	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
SportingGoods	EUR	865	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	1075	10	Thu	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	1386	10	Sat	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	1645	10	Sun	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	1645	10	Sun	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Collectibles	EUR	1853	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	EUR	1853	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	EUR	1853	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Collectibles	EUR	2163	10	Fri	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	2404	10	Sat	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	2638	10	Mon	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	2638	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	2638	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	2638	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	3057	10	Mon	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Computer	EUR	3375	10	Thu	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Computer	EUR	3375	10	Thu	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	5701	10	Mon	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	5701	10	Sun	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	5701	10	Sun	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	5701	10	Sun	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Music/Movie/Game	EUR	5701	10	Sun	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Home/Garden	EUR	5701	10	Tue	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Home/Garden	EUR	5701	10	Wed	1.23	1.23	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	SI	SI
Coins/Stamps	GBP	3380	7	Thu	2.23	2.23	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	1553	10	Tue	1.71	1.71	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	104	7	Mon	1.83	1.83	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	SI
Books	GBP	201	7	Thu	2.66	2.66	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Antique/Art/Craft	US	945	7	Sun	1.49	1.49	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Books	GBP	2731	7	Thu	2.66	2.66	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Books	EUR	1553	10	Tue	1.83	1.83	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	NO
Coins/Stamps	GBP	3380	7	Thu	2.68	2.68	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	EUR	300	10	Wed	1.84	1.84	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Toys/Hobbies	EUR	300	10	Wed	1.84	1.84	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Toys/Hobbies	EUR	300	10	Wed	1.84	1.84	0	NO	_NA_	_5_10.00	_NA_	_NA_	_1_0.00	NO	SI
Jewelry	EUR	72	1	Thu	2.45	2.45	0	NO	_NA_	_1_1.00	_NA_	_NA_	_1_0.00	NO	NO
Jewelry	EUR	72	1	Fri	2.45	2.45	0	NO	_NA_	_1_1.00	_NA_	_NA_	_1_0.00	NO	NO
Computer	EUR	105	3	Sun	2.45	2.45	0	NO	_NA_	_2_3.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	681	3	Sat	2.45	2.45	0	NO	_NA_	_2_3.00	_NA_	_NA_	_1_0.00	SI	NO
Automotive	US	3114	3	Sat	1.99	1.99	0	NO	_NA_	_2_3.00	_NA_	_NA_	_1_0.00	NO	NO
Clothing/Accessories	EUR	24	7	Sat	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Health/Beauty	EUR	70	7	Fri	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Health/Beauty	EUR	70	7	Sat	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Health/Beauty	EUR	70	7	Mon	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Health/Beauty	EUR	70	7	Wed	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	104	7	Thu	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Computer	EUR	105	7	Thu	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Music/Movie/Game	EUR	205	7	Fri	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	205	7	Fri	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	205	7	Fri	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Music/Movie/Game	EUR	205	7	Fri	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
EverythingElse	US	212	7	Fri	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	GBP	2731	7	Thu	3.55	3.55	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	NO
Coins/Stamps	GBP	3380	7	Thu	3.55	3.55	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Coins/Stamps	GBP	3380	7	Thu	3.55	3.55	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Toys/Hobbies	US	3385	7	Sat	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	NO	NO
Home/Garden	EUR	5350	7	Sat	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Home/Garden	EUR	5350	7	Mon	2.45	2.45	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
Toys/Hobbies	US	9003	7	Mon	1.99	1.99	0	NO	_NA_	_4_7.00	_NA_	_NA_	_1_0.00	SI	SI
